;ISBN 13;Book title;Author;Nº of pages;Publication date;Rating;Nº of ratings;Nº of reviews
10327;9780553293425;Pebble in the Sky (Galactic Empire #3);Isaac Asimov;308;1991-12-01;3,88;14022;452
10328;9781857989342;The Gods Themselves;Isaac Asimov;288;2000-02-10;4,09;42770;1022
10329;9780553293432;The Stars  Like Dust (Galactic Empire  #1);Isaac Asimov;304;1991-12-01;3,74;12547;424
10330;9780449015414;The Currents of Space (Galactic Empire  #2);Isaac Asimov;192;1952-01-01;3,83;37;3
10331;9780060556525;Gold: The Final Science Fiction Collection;Isaac Asimov;416;2003-10-21;4,0;2476;85
10332;9780380010325;Asimov's Guide to the Bible: The Old Testament;Isaac Asimov;677;1971-11-01;4,07;237;20
10333;9780380699179;100 Great Fantasy Short Short Stories;Isaac Asimov;395;1985-08-01;3,91;204;19
10334;9780142405741;Rock Star Superstar;Blake Nelson;229;2006-04-06;3,61;310;34
10335;9781598530018;Writings and Selected Narratives of the Exploration and Settlement of Virginia;John  Smith;1327;2007-03-22;3,39;28;3
10336;9780786848935;John  Paul  George & Ben;Lane Smith;40;2006-04-01;4,21;3500;393
10337;9780521288842;Evolution and the Theory of Games;John Maynard Smith;234;1982-10-21;4,0;86;5
10338;9780192862099;The Origins of Life: From the Birth of Life to the Origin of Language;John Maynard Smith;192;2000-11-26;4,13;43;3
10339;9780673393555;American Genesis: Captain John Smith and the Founding of Virginia;Alden T. Vaughan;224;2019-08-17;3,43;23;2
10340;9780316015844;Twilight (Twilight  #1);Stephenie Meyer;501;2006-09-06;3,59;4597666;94265
10341;9781593081256;Sense and Sensibility;Jane Austen;325;2004-07-25;4,07;1278;153
10342;9780671211486;Uncle Shelby's ABZ Book;Shel Silverstein;80;1985-09-09;4,36;2550;222
10343;9780689851131;Who Wants a Cheap Rhinoceros?;Shel Silverstein;64;2002-08-01;3,96;1907;124
10344;9780439321600;Fantastic Beasts and Where to Find Them (Hogwarts Library);Newt Scamander;128;2001-06-01;3,99;259399;5513
10345;9781843170174;J.K. Rowling - A Biography;Sean Smith;248;2003-05-01;3,73;937;41
10346;9783442451531;Das Zauberer-Handbuch - Die Magische Welt der Joanne K. Rowling von A bis Z;Allan Zola Kronzek;304;2001-11-01;4,04;39;1
10347;9783551552099;Harry Potter und die Kammer des Schreckens (Harry Potter  #2);J.K. Rowling;351;2000-09-30;4,42;26;1
10348;9783895849619;Harry Potter und der Gefangene von Askaban (Harry Potter  #3);J.K. Rowling;13;2002-08-31;4,56;313;8
10349;9783570211021;Harry Potter ve Sırlar Odası (Harry Potter  #2);J.K. Rowling;403;2001-10-01;4,42;1000;41
10350;9783551552105;Harry Potter und der Gefangene von Askaban (Harry Potter  #3);J.K. Rowling;448;2001-04-01;4,56;30;2
10351;9780385265560;There are No Children Here: The Story of Two Boys Growing Up in the Other America;Alex Kotlowitz;323;1992-01-05;4,27;12092;837
10352;9780205419289;Infants  Children  and Adolescents (MyDevelopmentLab Series);Laura E. Berk;784;2004-09-10;3,64;19;2
10353;9780552146555;Spring Music;Elvi Rhodes;464;1999-08-19;4,05;37;5
10354;9780451203779;Scarlet Feather;Maeve Binchy;549;2002-03-01;3,96;22812;791
10355;9780099498643;The Lilac Bus;Maeve Binchy;196;2007-01-12;3,62;9649;297
10356;9780099498575;Light a Penny Candle;Maeve Binchy;832;2006-05-04;3,91;14656;585
10357;9780752876825;Evening Class;Maeve Binchy;528;2005-06-30;3,99;35964;855
10358;9780099498599;Circle of Friends;Maeve Binchy;722;2006-06-01;4,03;51839;1396
10359;9782268031675;Nos rêves de Castelbay;Maeve Binchy;434;1999-03-29;3,8;1;0
10360;9782266129374;Les Saveurs de la vie;Maeve Binchy;893;2003-06-19;3,96;6;1
10361;9780747268468;Kiss;Jill Mansell;512;2000-09-07;3,68;1587;67
10362;9780747267454;Solo;Jill Mansell;421;2002-09-02;3,65;3362;127
10363;9780747267447;Two's Company;Jill Mansell;448;2003-10-27;3,61;1462;53
10364;9780747267430;Open House;Jill Mansell;448;2003-03-03;3,9;2440;65
10365;9780751533439;The Dream Kingdom (The Morland Dynasty  #26);Cynthia Harrod-Eagles;640;2004-11-01;4,34;195;7
10366;9780755304851;Falling for You;Jill Mansell;448;2004-08-16;3,8;4816;143
10367;9780747264866;Millie's Fling;Jill Mansell;512;2001-08-16;3,75;8052;463
10368;9780747268475;Sheer Mischief;Jill Mansell;504;2001-08-02;3,82;2555;102
10369;9780747257363;Head Over Heels;Jill Mansell;448;1999-06-10;3,72;3286;128
10370;9780747257356;Mixed Doubles;Jill Mansell;416;1998-07-02;3,71;2087;82
10371;9782290327500;Méli-mélo;Jill Mansell;381;2002-10-31;3,71;5;0
10372;9780373895205;Seven Sunny Days;Chris Manby;352;2005-04-26;3,35;588;30
10373;9780340828069;Girl Meets Ape;Chris Manby;406;2004-01-05;3,46;553;20
10374;9780006514855;Girls' Night In;Jessica Adams;586;2000-07-03;3,26;140;11
10375;9780140621594;Tales from Shakespeare;Charles Lamb;288;2007-10-26;3,96;3097;154
10376;9781903436578;Shakespeare's Sonnets;William Shakespeare;488;1997-08-21;4,25;70617;614
10377;9780385017336;Love Poems and Sonnets;William Shakespeare;160;1957-09-03;4,34;5808;64
10378;9780385313612;Shakespeare A to Z: The Essential Reference to His Plays  His Poems  His Life and Times  and More;Charles Boyce;752;1991-11-10;4,35;153;6
10379;9780140714531;The Sonnets;William Shakespeare;164;2001-12-01;4,25;349;19
10380;9780805073874;Shakespeare's Secret;Elise Broach;256;2005-05-01;3,88;7373;645
10381;9780192819338;The Complete Sonnets and Poems;William Shakespeare;624;2002-07-18;4,34;5487;43
10382;9781903436615;The Arden Shakespeare Complete Works;William Shakespeare;1347;2001-07-05;4,5;122;7
10383;9781401302207;Reduced Shakespeare: The Attention-impaired Readers Guide to the World's Best Playwright;Reed Martin;256;2006-07-11;4,13;281;53
10384;9780747250388;The Cat Who Knew Shakespeare (Cat Who...  #7);Lilian Jackson Braun;208;1996-11-07;3,92;6876;206
10385;9780141305950;The Shakespeare Stealer (Shakespeare Stealer  #1);Gary L. Blackwood;224;2000-07-01;3,68;5582;451
10386;9780743482844;Richard III;William Shakespeare;369;2004-07-01;3,93;1945;191
10387;9781903436318;King Henry VI  Part 3;William Shakespeare;460;2001-11-01;3,76;3138;186
10388;9780753819951;The Age Of Shakespeare;Frank Kermode;208;2005-07-07;3,68;20;2
10389;9781864503364;Ukraine;Sarah Johnstone;216;2005-07-01;3,91;27;5
10390;9781844494248;Jimi Hendrix: The Complete Guide to His Music  (Complete Guide to the Music of...);Peter Doggett;96;2004-12-01;4,0;4;1
10391;9780765311856;Outside the Dog Museum (Answered Prayers  #4);Jonathan Carroll;267;2005-06-01;3,97;1406;97
10392;9780765311801;Glass Soup  (Vincent Ettrich  #2);Jonathan Carroll;320;2006-11-28;3,88;1153;62
10393;9780312873110;The Land of Laughs;Jonathan Carroll;253;2001-02-10;3,9;4337;352
10394;9780765311863;Sleeping in Flame (Answered Prayers  #2);Jonathan Carroll;304;2004-10-01;4,05;1543;76
10395;9780312873127;Bones of the Moon (Answered Prayers  #1);Jonathan Carroll;224;2002-05-03;3,89;2046;116
10396;9780575402911;Kissing the Beehive (Crane's View  #1);Jonathan Carroll;256;2000-08-10;3,7;808;40
10397;9780312348649;Baby Proof;Emily Giffin;340;2006-06-13;3,72;140762;3096
10398;9780312323868;Something Blue (Darcy & Rachel  #2);Emily Giffin;338;2006-03-21;3,93;191577;6599
10399;9780312321185;Something Borrowed (Darcy & Rachel  #1);Emily Giffin;322;2004-06-01;3,85;454917;7487
10400;9780590213110;P.S. Longer Letter Later (Elizabeth and Tara*Starr  #1);Paula Danziger;234;1999-05-01;3,78;2699;242
10401;9780312321208;P.S. Your Cat Is Dead;James Kirkwood Jr.;218;2003-11-15;3,75;1334;141
10402;9781880972472;P.S. I Love You Three!;Lynda Milligan;79;2002-12-01;4,14;7;0
10403;9780312289515;The Christmas Shoes (Christmas Hope #1);Donna VanLiere;132;2001-11-09;4,23;32701;967
10404;9780373250219;Burning The Map;Laura Caldwell;288;2002-10-25;3,54;1336;66
10405;9780596006938;iMovie 4 & iDVD: The Missing Manual: The Missing Manual;David Pogue;496;2004-08-23;3,25;4;0
10406;9780752858500;The Icarus Agenda;Robert Ludlum;836;2004-07-01;3,96;37;3
10407;9780486421247;Life Is a Dream;Pedro Calderón de la Barca;96;2002-07-01;3,98;346;27
10408;73999140774;Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II;Pedro Calderón de la Barca;298;2000-04-01;3,81;61;4
10409;9780486424736;Life Is A Dream = La Vida Es Sueño;Pedro Calderón de la Barca;208;2002-12-06;3,98;56;2
10410;9780143104827;Life Is a Dream;Pedro Calderón de la Barca;160;2006-12-26;3,98;168;11
10411;9780811833462;Stylepedia: A Guide to Graphic Design Mannerisms  Quirks  and Conceits;Steven Heller;336;2006-11-09;4,06;170;9
10412;9780307001467;I Can Fly;Ruth Krauss;24;2003-09-09;4,24;1069;70
10413;9780451210906;A Whole Lotta Love;Donna Hill;384;2004-01-06;4,46;662;7
10414;9780192753373;The Best of Pippi Longstocking (Pippi Longstocking  #1-3);Astrid Lindgren;378;2003-10-09;4,25;217;16
10415;9780140326925;Astrid Lindgren: Storyteller to the World;Johanna Hurwitz;64;1991-11-01;3,69;10;2
10416;9780805745252;Astrid Lindgren;Eva-Maria Metcalf;157;1994-11-01;3,78;7;2
10417;9780152025410;The Moffats (The Moffats  #1);Eleanor Estes;212;2001-04-01;4,0;9334;302
10418;9780753810743;Arthur and the Lost Kingdoms;Alistair Moffat;282;1999-12-31;3,7;59;14
10419;9780883689448;God's Generals Why They Succeeded and Why Some Fail;Roberts Liardon;416;2000-11-01;4,45;1481;67
10420;9780152049188;The Alley (The Alley  #1);Eleanor Estes;288;2003-08-01;3,76;320;20
10421;9780152025656;Pinky Pye (The Pyes  #2);Eleanor Estes;192;2000-09-01;3,86;1578;102
10422;9780152026103;The Witch Family;Eleanor Estes;240;2000-09-01;4,07;2550;98
10423;9780152052607;The Hundred Dresses;Eleanor Estes;80;2004-09-01;4,09;30311;2306
10424;9780613013376;Theater Shoes;Noel Streatfeild;252;1999-11-01;4,02;85;11
10425;9780440428657;Gemma Alone (Gemma  #3);Noel Streatfeild;150;1987-02-01;3,61;175;7
10426;9780394931470;When the Siren Wailed;Noel Streatfeild;157;1977-10-01;3,72;16;3
10427;9780385514415;The Caine Mutiny Court-Martial;Herman Wouk;120;1954-04-20;4,12;281;10
10428;9780743464116;Band of Brothers: E Company  506th Regiment  101st Airborne from Normandy to Hitler's Eagle's Nest;Stephen E. Ambrose;432;2002-09-01;4,43;82525;2124
10429;9780316294522;Midnight Riders: The Story of the Allman Brothers Band;Scott  Freeman;343;1996-07-01;3,97;278;16
10430;9780810957800;Babar's World Tour;Laurent de Brunhoff;48;2005-09-01;3,82;69;12
10431;9780375827488;The Easter Rabbit's Parade;Lois Lenski;40;2004-01-27;3,0;29;7
10432;9780375810701;The Little Fire Engine;Lois Lenski;56;2000-10-24;3,56;209;27
10433;9780801883941;Right Stuff  Wrong Sex: America's First Women in Space Program;Margaret A. Weitekamp;256;2005-10-26;3,82;36;9
10434;9780373273492;The Right Stuff (To Protect and Defend #3);Merline Lovelace;256;2004-02-23;3,61;40;3
10435;9781117066035;For Whom the Bell Tolls;Ernest Hemingway;503;1940-01-01;3,97;365;33
10436;9780822012375;Cliffs Notes on Hemingway's The Sun Also Rises;Gary K. Carey;80;1964-05-20;3,5;14;2
10437;9788497596824;Dune (Dune #1);Frank Herbert;702;2003-10-30;4,22;565;93
10438;9780575075061;God Emperor of Dune (Dune Chronicles #4);Frank Herbert;454;2003-03-13;3,84;51343;896
10439;9780765312938;Sandworms of Dune (Dune Chronicles #8);Brian Herbert;494;2007-08-07;3,64;8486;273
10440;9780805073669;In Harm's Way: The Sinking of the USS Indianapolis and the Extraordinary Story of Its Survivors;Doug Stanton;339;2003-05-01;4,29;16684;892
10441;9781419950582;Harm's Way;Elizabeth Stewart;261;2005-05-27;3,36;13;5
10442;9780944092286;Harm's Way: Lust & Madness & Murder & Mayhem;Joel-Peter Witkin;132;1994-10-01;4,54;58;3
10443;9780375810688;I Like Winter (Seasons  #3);Lois Lenski;56;2000-10-24;3,94;65;9
10444;9780064405850;Strawberry Girl;Lois Lenski;208;2005-04-26;3,87;11143;423
10445;9780060244163;Betsy-Tacy and Tib (Betsy-Tacy  #2);Maud Hart Lovelace;128;1994-11-09;4,17;83;16
10446;9780816525096;After Collapse: The Regeneration of Complex Societies;Glenn M. Schwartz;336;2006-05-25;4,0;0;0
10447;9780373161171;Seize The Fire;Elda Minger;249;1985-07-25;4,0;3;0
10448;9780345475817;We Were Soldiers Once... and Young: Ia Drang - The Battle that Changed the War in Vietnam;Harold G. Moore;480;2004-11-23;4,31;21876;451
10449;9780060506988;We Were Soldiers Once ... and Young (Ia Drang - the Battle That Changed the War in Vietnam);Harold G. Moore;535;2002-02-05;4,31;166;24
10450;9780552150262;We were Soldiers Once... and young;Harold G. Moore;528;2002-03-01;4,31;153;10
10451;9780671747589;Eisenhower: Soldier and President;Stephen E. Ambrose;640;1991-10-15;3,98;10718;126
10452;9780805069075;Dwight D. Eisenhower (The American Presidents  #34);Tom Wicker;176;2002-11-05;3,84;248;30
10453;9780801856686;Crusade in Europe;Dwight D. Eisenhower;559;1997-06-06;4,08;1212;63
10454;9780700614455;Total Cold War: Eisenhower's Secret Propaganda Battle at Home and Abroad;Kenneth Osgood;506;2006-02-23;3,85;18;1
10455;9780806132792;So Far from God: The U.S. War With Mexico  1846-1848;John S.D. Eisenhower;464;2000-09-15;3,93;271;29
10456;9780743223850;Yanks: The Epic Story of the American Army in World War I;John S.D. Eisenhower;368;2002-06-04;3,72;110;15
10457;9780671605650;Eisenhower  Volume #2: The President;Stephen E. Ambrose;749;1985-10-01;4,2;95;13
10458;9780446676502;The Autobiography of Martin Luther King  Jr.;Martin Luther King Jr.;400;2001-01-01;4,35;14025;547
10459;9781591146919;Bull Halsey;E.B. Potter;440;2003-04-21;4,16;56;6
10460;9781853261480;The Water Babies;Charles Kingsley;224;1994-12-05;3,42;6148;318
10461;9780786819119;Water  Water Everywhere: A Splash & Giggle Bath Book (Baby Einstein);Julie Aigner-Clark;10;2003-09-01;3,71;79;10
10462;9780679732549;Shoot the Piano Player;David Goodis;158;1990-10-03;4,02;2768;143
10463;9780822000945;CliffsNotes on Shakespeare's Twelfth Night;James Lamar Roberts;64;1960-09-20;4,16;11;2
10464;9780521535144;Twelfth Night: Or What You Will;William Shakespeare;186;2004-03-15;3,98;62;7
10465;9780761143697;How to Spell Like a Champ;Barrie Trinkle;192;2006-11-16;4,17;46;7
10466;9780451208644;Black Like Me;John Howard Griffin;208;2003-05-06;4,13;53790;2118
10467;9780736904865;Men Are Like Waffles  Women Are Like Spaghetti;Bill Farrel;253;2001-01-01;3,88;952;117
10468;9781932219043;As You Like It;William Shakespeare;2;2005-09-06;3,83;28;6
10469;9780743484862;As You Like It;William Shakespeare;263;2011-08-23;3,83;62368;1291
10470;9781904271222;As You Like It;William Shakespeare;449;2006-07-25;3,83;410;36
10471;9781411401044;As You Like It (No Fear Shakespeare);William Shakespeare;256;2004-06-22;3,83;265;36
10472;9780553581355;War of the Rats;David L. Robbins;512;2000-06-06;4,11;1800;127
10473;9780060564421;Nimitz Class (Admiral Arnold Morgan  #1);Patrick Robinson;495;2004-02-03;3,92;5402;97
10474;9780061096846;Nimitz Class (Admiral Arnold Morgan  #1);Patrick Robinson;528;1998-01-23;3,92;1;0
10475;9781578562589;Having a Mary Heart in a Martha World: Finding Intimacy with God in the Busyness of Life;Joanna Weaver;256;2000-07-18;4,18;14711;442
10476;9780807068960;Thirst;Mary Oliver;88;2006-10-15;4,36;3689;351
10477;9780440243069;The Gilded Web (Web  #1);Mary Balogh;480;2006-11-28;3,58;2621;169
10478;9780735102866;Resurrection;Leo Tolstoy;562;2000-02-01;4,13;11468;530
10479;9780871136794;Cold Mountain;Charles Frazier;356;1997-05-16;3,86;1088;127
10480;9781844151455;Red Road From Stalingrad: Recollections of a Soviet Infantryman;Mansur Abdulin;195;2005-01-19;4,1;82;4
10481;9780142002803;The Fall of Berlin 1945;Antony Beevor;490;2003-04-29;4,29;10230;326
10482;9780142437926;Paris: After the Liberation 1944-1949;Antony Beevor;464;2004-08-31;3,83;542;48
10483;9780425213476;Demon Angel (The Guardians  #1);Meljean Brook;432;2008-01-02;3,53;2704;237
10484;9780060890391;Mariel Hemingway's Healthy Living from the Inside Out: Every Woman's Guide to Real Beauty  Renewed Energy  and a Radiant Life;Mariel Hemingway;288;2006-12-26;3,89;175;22
10485;9781585671267;Hemingway vs. Fitzgerald;Scott Donaldson;352;2001-12-01;3,85;185;19
10486;9780553248647;The Haj;Leon Uris;525;1985-05-01;4,03;11372;396
10487;9780553241600;Mila 18;Leon Uris;563;1983-11-01;4,29;21662;485
10488;9780061097935;A God in Ruins;Leon Uris;517;2000-09-05;3,26;1208;104
10489;9780060751869;Battle Cry;Leon Uris;694;2005-06-28;4,15;8323;137
10490;9780553277876;The Angry Hills;Leon Uris;245;1984-01-01;3,67;1163;50
10491;9780553258479;Exodus;Leon Uris;608;1986-10-01;4,34;85927;1520
10492;9780143036050;Oh  Play That Thing;Roddy Doyle;384;2005-10-25;3,29;1545;105
10493;9780140260021;The Van (The Barrytown Trilogy  #3);Roddy Doyle;320;1997-03-01;3,94;5718;164
10494;9783596153022;Fish & Chips (The Barrytown Trilogie  #3);Roddy Doyle;314;2002-10-01;3,94;2;0
10495;9780439993852;The Giggler Treatment;Roddy Doyle;112;2001-07-20;4,17;1425;149
10496;9780099284482;A Star Called Henry;Roddy Doyle;342;2000-09-07;3,84;6885;438
10497;9780436200526;The Van;Roddy Doyle;312;1991-08-04;3,94;30;4
10498;9783570127216;Rover rettet Weihnachten.;Roddy Doyle;160;2002-09-01;4,12;1;0
10499;9783596153039;The Snapper;Roddy Doyle;217;2002-09-01;3,93;26;5
10500;9780099422341;Yeats Is Dead;Roddy Doyle;298;2002-06-06;3,4;34;4
10501;9780313309335;The Fantastic Vampire: Studies in the Children of the Night: Selected Essays from the Eighteenth International Conference on the Fantastic in the Arts;James Craig Holte;176;2002-03-30;0,0;0;0
10502;9781413480948;A Dracula Handbook;Elizabeth Russell Miller;200;2005-03-23;4,07;10;1
10503;9780446691352;Real Estate Loopholes: Secrets of Successful Real Estate Investing;Diane  Kennedy;240;2003-12-31;4,15;721;9
10504;9780446677493;Hope is the Thing with Feathers: A Personal Chronicle of Vanished Birds;Christopher Cokinos;384;2001-04-01;4,22;308;33
10505;9780553243567;Goodbye Forever (Sweet Dreams  #72);Barbara Conklin;135;1984-12-31;3,76;56;0
10506;9780553270624;Winter Dreams (Sweet Dreams  #141);Barbara Conklin;176;1988-02-01;3,85;104;4
10507;9780553251791;First  Last and Always (Sweet Dreams  #96);Barbara Conklin;160;1985-09-01;3,76;65;2
10508;9780373033669;P.S. I Love You (Sealed with a Kiss #4);Valerie Parv;192;1995-04-24;2,83;23;1
10509;9780962247729;PS I Love You Baby Collection;Lynda Milligan;79;1990-12-31;4,43;7;0
10510;9780156026987;Tales from Margaritaville;Jimmy Buffett;230;1989-06-03;3,9;2450;175
10511;9780449005866;A Pirate Looks at Fifty;Jimmy Buffett;420;1999-11-28;3,83;3036;216
10512;9780806520155;The Parrot-Head Companion: An Insider's Guide to Jimmy Buffett;Thomas Ryan;176;1998-01-01;2,83;6;0
10513;9780553375268;The Dog Who Loved Too Much: Tales  Treatments and the Psychology of Dogs;Nicholas Dodman;258;1997-03-03;4,08;691;35
10514;9780822560562;Barack Obama: Working to Make a Difference;Marlene Targ Brill;48;2006-04-01;3,96;19;5
10515;9780486447612;Great Speeches by African Americans: Frederick Douglass  Sojourner Truth  Dr. Martin Luther King  Jr.  Barack Obama  and Others;James Daley;160;2006-04-28;4,3;230;21
10516;9781562924881;The Heart of a Leader;Kenneth H. Blanchard;162;1999-06-01;3,96;542;33
10517;9780071348270;Mission Possible;Kenneth H. Blanchard;242;1999-04-30;3,44;0;0
10518;9780849918728;Lead Like Jesus: Lessons from the Greatest Leadership Role Model of All Time;Kenneth H. Blanchard;239;2007-03-01;4,04;808;41
10519;9780066621036;The Little Book of Coaching: Motivating People to Be Winners;Kenneth H. Blanchard;128;2001-01-23;3,65;73;12
10520;9781576753064;Full Steam Ahead!: Unleash the Power of Vision in Your Work and Your Life;Kenneth H. Blanchard;192;2004-10-01;3,76;156;15
10521;23755004321;The Servant Leader;Kenneth H. Blanchard;128;2003-03-11;4,09;276;26
10522;9780552997034;Down Under;Bill Bryson;398;2001-08-06;4,07;4510;392
10523;9780767902519;A Walk in the Woods: Rediscovering America on the Appalachian Trail;Bill Bryson;276;1998-05-04;4,06;1405;266
10524;9780751510614;Bizarre World;Bill  Bryson;120;2001-05-01;3,38;73;6
10525;9780767919371;The Life and Times of the Thunderbolt Kid: A Memoir;Bill Bryson;268;2007-09-25;3,94;1329;250
10526;9780385601313;Bill Bryson: The Complete Notes;Bill Bryson;544;2000-10-05;4,09;901;36
10527;9782228897358;Motel Blues;Bill Bryson;399;2003-04-15;3,83;17;3
10528;9780563496267;Journeys in English;Bill Bryson;3;2004-02-02;3,72;510;60
10529;9788478713806;Una breve historia de casi todo;Bill Bryson;567;2006-04-30;4,21;713;68
10530;9780451412355;Lover Revealed (Black Dagger Brotherhood  #4);J.R. Ward;480;2007-03-06;4,3;106469;3691
10531;9780451216953;Dark Lover (Black Dagger Brotherhood  #1);J.R. Ward;393;2005-09-06;4,2;259511;10475
10532;9780451219367;Lover Awakened (Black Dagger Brotherhood  #3);J.R. Ward;448;2006-09-05;4,45;144906;5728
10533;9780312335281;All Things Wise and Wonderful;James Herriot;448;2004-11-01;4,41;22780;366
10534;9780764586712;CliffsNotes on Remarque's All Quiet on the Western Front;Susan Van Kirk;112;2000-12-20;4,24;12;0
10535;9780449231807;All Quiet on the Western Front;Erich Maria Remarque;256;1987-03-12;3,97;64;4
10536;9780380815692;The Nightingale's Song;Kathleen Eschenburg;384;2001-10-30;3,88;16;3
10537;9780340878750;Nightingale's Song;Kate Pennington;219;2006-10-19;3,02;40;5
10538;9780440216803;Gai-Jin (Asian Saga  #3);James Clavell;1236;1994-04-03;3,86;10757;296
10539;9780340766187;Whirlwind (Asian Saga  #6);James Clavell;1231;1999-12-02;3,82;5626;164
10540;9780440184621;Tai-Pan (Asian Saga  #2);James Clavell;734;2009-09-01;4,27;39315;778
10541;9780340654163;Escape: The Love Story from Whirlwind;James Clavell;584;1999-07-01;3,63;276;14
10542;9780375761423;Alaska;James A. Michener;868;2002-11-12;4,12;9330;590
10543;9780449213537;The Drifters;James A. Michener;768;1986-10-12;4,04;6253;353
10544;9780449204146;Sayonara;James A. Michener;208;1983-09-12;3,81;1848;104
10545;9780449210505;The Bridge at Andau;James A. Michener;288;1985-09-12;3,94;1135;158
10546;9780812974928;Caribbean;James A. Michener;672;2005-12-13;3,93;4718;232
10547;9780316954990;War and Remembrance (The Henry Family  #2);Herman Wouk;1042;2002-02-05;4,41;29555;680
10548;9780316955126;Don't Stop the Carnival;Herman Wouk;416;1992-05-15;3,93;2700;298
10549;9780316954419;The Hope (The Hope and the Glory  #1);Herman Wouk;704;2002-06-03;4,15;2336;141
10550;9780316955171;Youngblood Hawke;Herman Wouk;783;1992-05-15;4,04;1248;68
10551;9780316955096;Aurora Dawn;Herman Wouk;288;1992-04-15;3,47;213;20
10552;9781419317262;The Curious Incident of the Dog in the Night-Time;Mark Haddon;6;2006-12-01;3,88;614;119
10553;9780374105235;A Long Way Gone: Memoirs of a Boy Soldier;Ishmael Beah;229;2007-02-13;4,16;147820;9547
10554;9781564782380;Yellow Back Radio Broke-Down;Ishmael Reed;177;2000-05-01;3,83;496;38
10555;9780452286351;Anthem;Ayn Rand;256;2004-12-28;3,63;470;67
10556;9780312936600;Sorrow's Anthem (Lincoln Perry  #2);Michael Koryta;330;2007-01-02;3,89;62;7
10557;9780439236195;White Fang;Jack London;252;2001-01-01;3,98;119589;3124
10558;9780192835147;The Call of the Wild  White Fang and Other Stories;Jack London;400;1998-08-20;3,99;18720;192
10559;9781402725005;White Fang;Kathleen Olmstead;160;2006-03-28;4,24;713;31
10560;9780451529367;The Sea-Wolf and Selected Stories;Jack London;352;2004-05-04;4,06;781;40
10561;9780380725786;The Death of an Irish Sea Wolf (Peter McGarr  #12);Bartholomew Gill;304;1997-10-01;3,74;135;12
10562;9780517309803;Jack London Illustrated: The Call of the Wild/White Fang/The Sea-Wolf/40 Short Stories;Jack London;761;1993-10-02;4,26;20;1
10563;9781598184310;The Sea Wolf;Jack London;425;2005-06-01;4,04;19091;851
10564;9780061096853;Kilo Class (Admiral Arnold Morgan  #2);Patrick Robinson;512;1999-03-03;4,05;1738;58
10565;9780060086633;Barracuda 945 (Admiral Arnold Morgan  #6);Patrick Robinson;498;2004-06-29;3,97;1119;27
10566;9780061098017;H.M.S. Unseen (Admiral Arnold Morgan  #3);Patrick Robinson;544;2000-03-01;4,01;2076;38
10567;9780060580339;Slider;Patrick Robinson;416;2004-04-27;4,13;66;7
10568;9780061030659;U.S.S. Seawolf (Admiral Arnold Morgan  #4);Patrick Robinson;496;2001-05-01;3,96;1581;46
10569;9782226114976;Menace Invisible (Admiral Arnold Morgan  #3);Patrick Robinson;384;2000-03-01;4,01;3;0
10570;9780553400038;True Blue: The Oxford Boat Race Mutiny;Daniel Topolski;320;1990-02-23;4,24;69;13
10571;9780823410781;A Picture Book of Anne Frank;David A. Adler;32;1993-01-01;4,18;217;70
10572;9780448444826;Who Was Anne Frank?;Ann Abramson;103;2007-01-18;4,26;1953;293
10573;9781565124509;Enslaved by Ducks;Bob Tarte;308;2004-10-01;3,44;2263;448
10574;9780449700815;Ice Castles;Leonore Fleischer;220;1982-03-12;3,87;161;19
10575;9780312330347;Marching Powder: A True Story of Friendship  Cocaine  and South America's Strangest Jail;Rusty Young;400;2004-05-01;4,26;11121;522
10576;9780330419581;Marching Powder;Rusty Young;371;2004-07-01;4,26;906;94
10577;9780521439619;Nations and Nationalism since 1780: Programme  Myth  Reality;Eric Hobsbawm;214;1992-10-30;3,9;1175;39
10578;9781565849655;Interesting Times: A Twentieth-Century Life;Eric Hobsbawm;448;2005-05-16;4,06;374;24
10579;9781565845619;Industry and Empire: The Birth of the Industrial Revolution;Eric Hobsbawm;411;1999-09-01;3,92;301;14
10580;9781859848982;The Communist Manifesto;Karl Marx;88;1998-05-01;3,55;309;38
10581;9781565846715;On the Edge of the New Century;Eric Hobsbawm;192;2001-05-01;3,71;82;5
10582;9780349106717;The Age of Extremes: The Short Twentieth Century  1914-1991;Eric Hobsbawm;638;1995-11-12;4,25;348;24
10583;9780813515243;Echoes of the Marseillaise: Two Centuries Look Back on the French Revolution;Eric Hobsbawm;168;1990-04-01;3,52;57;7
10584;9780152049676;Winter Is the Warmest Season;Lauren Stringer;40;2006-10-01;3,9;408;83
10585;9780764127311;Winter (Four Seasons  #4);Núria Roca;36;2004-06-30;3,82;7;1
10586;9780761316800;It's Winter;Linda Glaser;32;2002-09-01;3,64;88;14
10587;9780813027050;Winter Season: A Dancer's Journal;Toni Bentley;168;2003-11-10;3,92;425;39
10588;9780140445145;Twilight of the Idols/The Anti-Christ;Friedrich Nietzsche;208;1990-01-25;4,16;7149;143
10589;9780240807386;Practical DV Filmmaking;Russell Evans;408;2005-11-01;3,46;9;0
10590;9780688167387;Diana Vreeland;Eleanor Dwight;320;2002-10-22;4,24;150;17
10591;9780670400676;Inventive Paris clothes: 1909-1939 - a photographic essay;Diana Vreeland;95;1978-05-26;3,67;3;0
